Name,Link,Likes,Downloads,Dataset Tasks,Modality,Last Modified,Date Last Accessed,,,
QingyiSi/Alpaca-CoT,https://huggingface.co/datasets/QingyiSi/Alpaca-CoT,723,15301,Unknown,Unknown,14/09/2023 00:00:00,14/02/2025 00:00:00,,,
Gourieff/ReActor,https://huggingface.co/datasets/Gourieff/ReActor,79,102556,Unknown,Unknown,02/01/2025 00:00:00,14/02/2025 00:00:00,,,
CausalLM/Refined-Anime-Text,https://huggingface.co/datasets/CausalLM/Refined-Anime-Text,239,78,text-generation,text,11/02/2025 00:00:00,14/02/2025 00:00:00,,,
allenai/wildjailbreak,https://huggingface.co/datasets/allenai/wildjailbreak,35,1702,text-generation,"image, text",08/08/2024 00:00:00,14/02/2025 00:00:00,,,
proj-persona/PersonaHub,https://huggingface.co/datasets/proj-persona/PersonaHub,513,5464,text-generation,text,14/02/2025 00:00:00,14/02/2025 00:00:00,,,
proj-persona/PersonaHub,https://huggingface.co/datasets/proj-persona/PersonaHub,513,5464,text-classification,text,14/02/2025 00:00:00,14/02/2025 00:00:00,,,
proj-persona/PersonaHub,https://huggingface.co/datasets/proj-persona/PersonaHub,513,5464,token-classification,text,14/02/2025 00:00:00,14/02/2025 00:00:00,,,
proj-persona/PersonaHub,https://huggingface.co/datasets/proj-persona/PersonaHub,513,5464,fill-mask,text,14/02/2025 00:00:00,14/02/2025 00:00:00,,,
proj-persona/PersonaHub,https://huggingface.co/datasets/proj-persona/PersonaHub,513,5464,table-question-answering,text,14/02/2025 00:00:00,14/02/2025 00:00:00,,,
proj-persona/PersonaHub,https://huggingface.co/datasets/proj-persona/PersonaHub,513,5464,text2text-generation,text,14/02/2025 00:00:00,14/02/2025 00:00:00,,,
Guilherme34/uncensor,https://huggingface.co/datasets/Guilherme34/uncensor,20,146,Unknown,Unknown,06/09/2024 00:00:00,14/02/2025 00:00:00,,,
Jiayi-Pan/Countdown-Tasks-3to4,https://huggingface.co/datasets/Jiayi-Pan/Countdown-Tasks-3to4,34,11199,Unknown,Unknown,23/01/2025 00:00:00,14/02/2025 00:00:00,,,
exp-models/korean-reasoning-mixture-20250203-preview,https://huggingface.co/datasets/exp-models/korean-reasoning-mixture-20250203-preview,6,61,Unknown,text,04/02/2025 00:00:00,14/02/2025 00:00:00,,,
prithivMLmods/Synthesis-Article,https://huggingface.co/datasets/prithivMLmods/Synthesis-Article,7,36,Unknown,"tabular, text",04/02/2025 00:00:00,14/02/2025 00:00:00,,,
prithivMLmods/OpenWeb888K,https://huggingface.co/datasets/prithivMLmods/OpenWeb888K,7,159,text-generation,"tabular, text",06/02/2025 00:00:00,14/02/2025 00:00:00,,,
